observed_on,latitude,longitude
2019-04-15,34.7298728829,-118.394160567
2019-03-30,34.7321510315,-118.3949050903
2019-04-19,34.7333333333,-118.3936533333
2019-04-29,34.7249116,-118.3969062
2019-04-21,34.7236318011,-118.3912599082
2019-04-07,34.7331916667,-118.4040616667
2019-05-09,34.732279,-118.39324
2019-03-24,34.7155929722,-118.3610919722
2017-04-16,34.7262078522,-118.3971100542
2019-04-07,34.7040509722,-118.3294219722
2019-04-16,34.7194833333,-118.3285
2019-05-26,34.7248033333,-118.4004283333
2019-04-05,34.7328416667,-118.3959583333
2017-03-24,34.7334116757,-118.3928292745
2019-04-07,34.73322,-118.3971166667
2019-03-13,34.7373666667,-118.3890833333
2017-04-23,34.7308909004,-118.3989494782
2017-04-23,34.7329926936,-118.3961563685
2017-04-23,34.7282791775,-118.4081773139
2019-07-12,34.73912934,-118.43997686
2019-03-29,34.7257575635,-118.3910894879
2019-03-26,34.7249116,-118.3969062
2019-04-09,34.7326866667,-118.3911666667
2019-04-08,34.7359008789,-118.3778610229
2019-03-24,34.7341166667,-118.3960883333
2019-04-07,34.7321703425,-118.3979178116
2019-04-07,34.73505,-118.3842616667
2019-03-31,34.724655,-118.3746033333
2017-04-22,34.7329960974,-118.3961290622
2019-05-05,34.732525,-118.3957283333
2019-03-27,34.7253295581,-118.3966712281
2019-03-17,34.73469167,-118.39199667
2018-04-03,34.7322843982,-118.3300970478
2020-01-17,34.7267682847,-118.3911246457
2020-03-18,34.73277,-118.399605
2020-03-18,34.7374357634,-118.3835003784
2020-03-21,34.7365916667,-118.3840116667
2020-03-21,34.7330079722,-118.3967729722
2020-03-23,34.7351216069,-118.3920551607
2020-03-17,34.7324771017,-118.3936875952
2020-03-31,34.72484167,-118.38546167
2020-04-04,34.71538667,-118.35021167
2020-04-05,34.73917,-118.42988667
2017-04-16,34.7270194444,-118.4043583333
2020-04-11,34.71566333,-118.3264
2020-04-16,34.71558,-118.34822
2020-04-16,34.71608,-118.34903667
2019-04-07,34.7310375669,-118.3935381495
2020-04-19,34.70375134,-118.30981144
2020-04-18,34.7509166667,-118.4228527778
2020-04-21,34.717634,-118.360702
2020-04-19,34.7341770929,-118.3035961143
2020-04-21,34.707445,-118.40141333
2020-04-23,34.7261209541,-118.3750286219
2020-04-23,34.7269377958,-118.3854990803
2020-04-24,34.7248762334,-118.4001840838
2020-04-26,34.7147050871,-118.3894523496
2020-04-25,34.7075524149,-118.3602549852
2020-04-25,34.74473,-118.34846333
2019-04-25,34.7284712098,-118.407022235
